OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
3644,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001581,Business & Support Services,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,-9050
3645,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001581,Business & Support Services,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,11503
3646,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001581,Business & Support Services,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,3500
3647,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001581,Business & Support Services,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,200
3648,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001581,Business & Support Services,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,350810
3649,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001581,Business & Support Services,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890070,Department Budget Reduction,-9050
3650,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,15347
3651,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458010,Transportation,71000
3652,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_446020,Fees And Permits,4497
3653,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502140,Service and Supply Reimbursement,41600
3654,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502140,Service and Supply Reimbursement,-41600
3655,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502030,ICP Reimbursement CR,-378870
3656,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund Total,Other Governmental Funds,Other,F_1002,Interdepartmental Service Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502040,ICP Reimbursement DR,378870
3657,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890070,Department Budget Reduction,485053
3658,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890070,Department Budget Reduction,-485053
3659,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Interest, Rents, and Concessions","Interest, Rents, & Concessions",R_362010,Real Property Rental,49000
3660,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442030,Custodial Services,-231127
3661,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442030,Custodial Services,231127
3662,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,-40000
3663,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,40000
3664,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,-328947
3665,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,-445053
3666,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001600,Facilities Joint Use Ops,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,774000
3667,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001605,CAL EPA,Fund Total,Other Governmental Funds,Other Governmental Funds,F_2801,Cal EPA Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,7701630
3668,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Facilities & Real Prop Mgmt Division,D_13001605,CAL EPA,Fund Total,Other Governmental Funds,Other Governmental Funds,F_2801,Cal EPA Fund,All Account,Net Amount (Revenue less Expense),Revenues,Intergovernmental,Intergovernmental Accounts,R_336020,Other State Payments,7874000
3669,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,3990
3670,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461070,Safety Equipment,1556
3671,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458010,Transportation,2721
3672,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_456040,Laundry Services,72
3673,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453010,Telephone,14665
3674,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_454030,Other Advertising,20627
3675,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Books and Periodicals,E_464010,Books & Periodicals,281
3676,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481150,Memberships Licenses and Dues,1300
3677,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Energy and Fuel,E_462020,Fuel,8078
3678,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Energy and Fuel,E_462010,Utilities Exp,270388
3679,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461220,General Supply,2473
3680,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461210,Computer Software,4200
3681,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461130,Construction Supplies,5273
3682,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461090,Scientific And Technical Supply,135
3683,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461200,Computer Supplies,4200
3684,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,18328
3685,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,1356812
3686,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,51673
3687,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,1400
3688,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413020,Sick Leave,8174
3689,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,127389
3690,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,45000
3691,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412010,Overtime,10000
3692,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,150294
3693,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,35226
3694,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442030,Custodial Services,25000
3695,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,12372
3696,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443050,Computer Software Maintenance,23719
3697,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,3600
3698,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442010,Landscape Maintenance Services,37820
3699,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,3004
3700,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,198426
3701,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,19674
3702,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,17783
3703,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413210,Bus Passes,250
3704,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,83460
3705,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,186356
3706,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413280,Automobile Allowance,14000
3707,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413260,Educational Assistance,1000
3708,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413240,Employee Allowance,8000
3709,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413160,Management Leave Time,55680
3710,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444030,Rental Of Vehicles,6935
3711,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444020,Rental Of Equipment,7354
3712,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444020,Rental Of Equipment,4389
3713,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-4574
3714,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,42310
3715,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund SerProvided,E_501010,Central Services Mail Charges,5000
3716,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund SerProvided,E_501010,Central Services Mail Charges,805
3717,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001711,Solid Waste Admin Services,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,City Property,Property Accounts,E_474410,Computer Equipment,18250
